Genome	Phagocyte-generalist prediction	Phagocyte-entamoebid prediction	Phagocyte-rozellid prediction	Prototrophy prediction	Photosynthesis prediction
0.05.4.EP00298_Acanthocystis_sp_HF-20	0.000450774840521722	0.0034292647624954	0.00361867831193037	0.00013586136228316	0.00030467936439916
0.05.5.EP00298_Acanthocystis_sp_HF-20	0.00123707309053164	0.00634092401609579	0.00559327617917666	0.000648669342619072	0.000309225391275472
0.05.6.EP00298_Acanthocystis_sp_HF-20	0.000698206605366678	0.00607588919955106	0.0188279726406717	0.000265949961262429	0.000295152325886009
0.05.7.EP00298_Acanthocystis_sp_HF-20	0.00173545948582708	0.00873889294192459	0.0126516644979389	0.000184683822410914	0.000335060787296531
0.05.8.EP00298_Acanthocystis_sp_HF-20	0.000122806631324823	0.00249706367097785	0.00902474029860853	0.000150285505615471	0.000286665131862451
0.05.9.EP00298_Acanthocystis_sp_HF-20	0.000196207968923876	0.00121127643933543	0.00959369832089496	0.000961527886872303	0.000368463594742587
0.10.1.EP00298_Acanthocystis_sp_HF-20	0.00768507970652488	0.0342353369551433	0.195445543175292	0.000267531369602591	0.000345921011606741
0.10.10.EP00298_Acanthocystis_sp_HF-20	0.00265442605124141	0.0700548901706734	0.090561222149165	0.000397943348136887	0.000688540843360412
0.10.11.EP00298_Acanthocystis_sp_HF-20	0.00495593715187494	0.0419437618545379	0.0136027116620662	0.000174484772252101	0.000331866691099693
0.10.12.EP00298_Acanthocystis_sp_HF-20	0.00203140349374983	0.0305212331547368	0.034072502027209	0.000294897438683329	0.000328461568807702
0.10.13.EP00298_Acanthocystis_sp_HF-20	0.00653499517170783	0.077148936352516	0.273146368985591	0.000835530157857308	0.000425588281800099
0.10.14.EP00298_Acanthocystis_sp_HF-20	0.00266698387155352	0.0561836958142858	0.0284398971311633	0.000326881075355617	0.000375296429161644
0.10.15.EP00298_Acanthocystis_sp_HF-20	0.0161554926136572	0.0398762700589698	0.0426645477441607	0.00101329266257965	0.000431144079701548
0.10.16.EP00298_Acanthocystis_sp_HF-20	0.0016307588099704	0.0312379532697419	0.017880486630839	0.000613889688563742	0.000378562288888669
0.10.17.EP00298_Acanthocystis_sp_HF-20	0.00114329448603808	0.00826167542519764	0.0149870225094637	0.000530938443026929	0.000330312553905597
0.10.18.EP00298_Acanthocystis_sp_HF-20	0.00153929544504479	0.0474548690734024	0.187467896828915	0.000187769623869204	0.000357704555084776
0.10.19.EP00298_Acanthocystis_sp_HF-20	0.0107544329866855	0.0655568528283969	0.0248844145591065	0.00152845631697208	0.000371411526299157
0.10.2.EP00298_Acanthocystis_sp_HF-20	0.00729991895169715	0.019891017009452	0.0154099361848386	0.000434621791170917	0.000292817571620578
0.10.20.EP00298_Acanthocystis_sp_HF-20	0.0079201060846129	0.0568405787496583	0.0496349905979253	0.000208480754500912	0.000343158260778543
0.10.3.EP00298_Acanthocystis_sp_HF-20	0.00353164077846673	0.0222826927891713	0.0233508484120218	0.000343376686553761	0.000561216197892356
0.10.4.EP00298_Acanthocystis_sp_HF-20	0.0166152486278746	0.27412343917098	0.112412337259549	0.000637211312529759	0.000389318985804384
0.10.5.EP00298_Acanthocystis_sp_HF-20	0.0113885924089579	0.152294687253311	0.0355796644573046	0.000409805983016219	0.000524610323325976
0.10.6.EP00298_Acanthocystis_sp_HF-20	0.00168220888213447	0.125798047862571	0.0534313311425035	0.000372328138959026	0.000528139373671438
0.10.7.EP00298_Acanthocystis_sp_HF-20	0.0019771321437647	0.175952357713346	0.0324654004325437	0.000895593683561386	0.000514308099649476
0.10.8.EP00298_Acanthocystis_sp_HF-20	0.00443454360238022	0.0226142559866363	0.0225154664839154	0.000313685775808047	0.000332423698766839
0.10.9.EP00298_Acanthocystis_sp_HF-20	0.00284960467243855	0.031200820190197	0.0216609196409072	0.000613950969700348	0.000530470753352404
